order_id,order_date,customer_name,region,product_category,product_sub-category,product_name,units_sold,unit_price,discount_(%),revenue,profit,cost_per_unit,year,month,quarter,month_name
ORD1000,13-04-23,Customer 82,North,Furniture,Bookcases,3-Shelf Bookcase,4,86.98,0,347.92,91.56,64.09,2023,4,2,April
ORD1001,15-12-23,Customer 70,North,Office Supplies,Storage,Filing Cabinet,1,64.97,0.05,61.7215,17.7415,43.98,2023,12,4,December
ORD1002,28-09-23,Customer 4,South,Office Supplies,Storage,Filing Cabinet,8,302.85,0,2422.8,567.92,231.86,2023,9,3,September
ORD1003,17-04-23,Customer 21,West,Technology,Copiers,All-in-One Copier,4,479.46,0.1,1726.056,698.536,256.88,2023,4,2,April
ORD1004,13-03-23,Customer 49,North,Technology,Copiers,Color Copier 3000,1,370.27,0.2,296.216,94.906,201.31,2023,3,1,March
ORD1005,08-07-23,Customer 49,North,Office Supplies,Art,Markers Set,10,112.3,0,1123,543.5,57.95,2023,7,3,July
ORD1006,21-01-23,Customer 30,East,Furniture,Tables,Oak Table,7,153.43,0.25,805.5075,-45.0625,121.51,2023,1,1,January
ORD1007,13-04-23,Customer 21,East,Technology,Accessories,USB Hub,2,312.38,0.05,593.522,164.342,214.59,2023,4,2,April
ORD1008,02-05-23,Customer 32,South,Technology,Machines,Laminator,9,125.42,0.1,1015.902,118.512,99.71,2023,5,2,May
ORD1009,03-08-23,Customer 100,North,Furniture,Chairs,Comfort Seat,7,148.52,0.05,987.658,135.548,121.73,2023,8,3,August
ORD1010,27-11-23,Customer 73,East,Furniture,Furnishings,Wall Art,8,88.58,0.05,673.208,257.688,51.94,2023,11,4,November
ORD1011,29-03-23,Customer 72,East,Office Supplies,Storage,Plastic Storage Box,6,125.27,0.05,714.039,204.219,84.97,2023,3,1,March
ORD1012,10-04-23,Customer 12,North,Furniture,Tables,Workstation Pro,3,400.2,0.15,1020.51,169.59,283.64,2023,4,2,April
ORD1013,26-12-23,Customer 50,West,Office Supplies,Storage,Plastic Storage Box,9,433.17,0,3898.53,1021.05,319.72,2023,12,4,December
ORD1014,01-06-23,Customer 15,East,Office Supplies,Art,Sketch Pad,5,228.69,0.15,971.9325,398.9325,114.6,2023,6,2,June
ORD1015,11-05-23,Customer 93,East,Office Supplies,Paper,Printer Paper,5,424,0.2,1696,184.15,302.37,2023,5,2,May
ORD1016,30-05-23,Customer 20,East,Furniture,Chairs,Executive Leather,6,254.53,0,1527.18,267,210.03,2023,5,2,May
ORD1017,05-11-23,Customer 40,South,Furniture,Tables,Workstation Pro,2,61.11,0.15,103.887,7.867,48.01,2023,11,4,November
ORD1018,15-09-23,Customer 98,South,Furniture,Furnishings,Desk Lamp,5,273.28,0.2,1093.12,207.57,177.11,2023,9,3,September
ORD1019,10-12-23,Customer 28,South,Office Supplies,Art,Markers Set,6,230.29,0.2,1105.392,196.152,151.54,2023,12,4,December
ORD1020,21-10-23,Customer 32,South,Furniture,Bookcases,3-Shelf Bookcase,10,285.88,0.2,2287.04,637.34,164.97,2023,10,4,October
ORD1021,11-07-23,Customer 10,North,Furniture,Chairs,ErgoChair X,6,54.01,0.05,307.857,114.237,32.27,2023,7,3,July
ORD1022,04-10-23,Customer 63,South,Office Supplies,Paper,Graph Paper,4,396.62,0.15,1348.508,449.548,224.74,2023,10,4,October
ORD1023,10-06-23,Customer 13,West,Technology,Machines,Laminator,8,434.64,0,3477.12,919.12,319.75,2023,6,2,June
ORD1024,10-11-23,Customer 83,North,Furniture,Furnishings,Wall Art,2,139.36,0.05,264.784,73.104,95.84,2023,11,4,November
ORD1025,22-01-23,Customer 18,West,Furniture,Bookcases,8-Cube Organizer,4,439.75,0,1759,606.68,288.08,2023,1,1,January
ORD1026,10-09-23,Customer 71,North,Furniture,Chairs,ErgoChair X,4,99.83,0.15,339.422,72.502,66.73,2023,9,3,September
ORD1027,24-08-23,Customer 52,North,Furniture,Furnishings,Desk Lamp,7,147.3,0.15,876.435,257.915,88.36,2023,8,3,August
ORD1028,11-12-23,Customer 90,West,Furniture,Tables,Glass Desk,4,484.98,0.2,1551.936,82.416,367.38,2023,12,4,December
ORD1029,18-02-23,Customer 8,East,Furniture,Chairs,Executive Leather,8,261.37,0.2,1672.768,512.048,145.09,2023,2,1,February
ORD1030,28-02-23,Customer 66,North,Furniture,Chairs,Executive Leather,2,344.1,0.05,653.79,212.43,220.68,2023,2,1,February
ORD1031,19-06-23,Customer 73,South,Office Supplies,Binders,Ring Binder,7,335.54,0.2,1879.024,274.834,229.17,2023,6,2,June
ORD1032,07-07-23,Customer 34,South,Office Supplies,Art,Sketch Pad,5,209.98,0.25,787.425,25.275,152.43,2023,7,3,July
ORD1033,28-09-23,Customer 59,East,Furniture,Chairs,Comfort Seat,10,499.26,0,4992.6,2368.3,262.43,2023,9,3,September
ORD1034,09-07-23,Customer 28,East,Furniture,Bookcases,3-Shelf Bookcase,4,197.37,0.05,750.006,234.206,128.95,2023,7,3,July
ORD1035,24-06-23,Customer 70,East,Office Supplies,Binders,Executive Binder,2,470.69,0.05,894.311,336.491,278.91,2023,6,2,June
ORD1036,20-02-23,Customer 14,South,Technology,Copiers,All-in-One Copier,6,117.73,0.25,529.785,-34.275,94.01,2023,2,1,February
ORD1037,30-12-23,Customer 65,West,Technology,Phones,SmartPhone A1,7,418.09,0,2926.63,1459.71,209.56,2023,12,4,December
ORD1038,24-02-23,Customer 99,South,Office Supplies,Art,Sketch Pad,8,284.81,0.15,1936.708,350.148,198.32,2023,2,1,February
ORD1039,01-09-23,Customer 15,North,Office Supplies,Paper,Printer Paper,6,299.6,0.05,1707.72,538.5,194.87,2023,9,3,September
ORD1040,16-11-23,Customer 6,East,Technology,Phones,Cordless Phone Z,4,347.39,0.25,1042.17,297.41,186.19,2023,11,4,November
ORD1041,11-05-23,Customer 100,West,Office Supplies,Paper,Printer Paper,3,488.58,0.05,1392.453,207.423,395.01,2023,5,2,May
ORD1042,03-11-23,Customer 4,South,Office Supplies,Art,Markers Set,4,148.07,0.25,444.21,125.65,79.64,2023,11,4,November
ORD1043,15-05-23,Customer 5,West,Furniture,Tables,Glass Desk,6,166.49,0.05,948.993,371.553,96.24,2023,5,2,May
ORD1044,21-01-23,Customer 85,South,Technology,Copiers,Color Copier 3000,2,484.11,0.1,871.398,268.298,301.55,2023,1,1,January
ORD1045,25-11-23,Customer 66,West,Office Supplies,Art,Sketch Pad,2,440.98,0.1,793.764,297.664,248.05,2023,11,4,November
ORD1046,16-06-23,Customer 34,North,Furniture,Furnishings,Wall Art,6,229.47,0.2,1101.456,357.336,124.02,2023,6,2,June
ORD1047,01-10-23,Customer 74,South,Technology,Phones,Cordless Phone Z,1,269.56,0.2,215.648,16.068,199.58,2023,10,4,October
ORD1048,30-03-23,Customer 95,South,Technology,Machines,Fax Machine,6,319.11,0.25,1435.995,-89.625,254.27,2023,3,1,March
ORD1049,12-11-23,Customer 93,East,Office Supplies,Art,Markers Set,6,213.15,0.1,1151.01,263.37,147.94,2023,11,4,November
ORD1050,14-01-23,Customer 25,West,Office Supplies,Storage,Filing Cabinet,10,293.17,0.15,2491.945,463.845,202.81,2023,1,1,January
ORD1051,30-08-23,Customer 1,East,Technology,Accessories,USB Hub,10,311.2,0.1,2800.8,738.3,206.25,2023,8,3,August
ORD1052,22-09-23,Customer 57,South,Office Supplies,Storage,Filing Cabinet,2,156.22,0.25,234.33,8.89,112.72,2023,9,3,September
ORD1053,12-12-23,Customer 43,North,Furniture,Bookcases,3-Shelf Bookcase,4,90.73,0,362.92,150.36,53.14,2023,12,4,December
ORD1054,22-02-23,Customer 61,North,Technology,Machines,Fax Machine,7,257.3,0.05,1711.045,717.465,141.94,2023,2,1,February
ORD1055,06-12-23,Customer 89,North,Furniture,Furnishings,Desk Lamp,3,405.97,0.25,913.4325,83.6925,276.58,2023,12,4,December
ORD1056,02-04-23,Customer 7,South,Furniture,Furnishings,Desk Lamp,8,340.44,0.2,2178.816,249.456,241.17,2023,4,2,April
ORD1057,21-09-23,Customer 97,West,Office Supplies,Storage,Plastic Storage Box,3,376.95,0.15,961.2225,217.6725,247.85,2023,9,3,September
ORD1058,04-02-23,Customer 97,South,Office Supplies,Art,Markers Set,4,151.81,0,607.24,151.96,113.82,2023,2,1,February
ORD1059,25-07-23,Customer 31,East,Technology,Copiers,All-in-One Copier,3,92.4,0.15,235.62,29.7,68.64,2023,7,3,July
ORD1060,22-03-23,Customer 91,South,Furniture,Furnishings,Wall Art,6,280.45,0.15,1430.295,552.255,146.34,2023,3,1,March
ORD1061,19-02-23,Customer 54,West,Office Supplies,Binders,Executive Binder,8,22.83,0.1,164.376,53.976,13.8,2023,2,1,February
ORD1062,26-12-23,Customer 50,West,Office Supplies,Paper,Graph Paper,4,151.01,0.15,513.434,205.274,77.04,2023,12,4,December
ORD1063,02-01-23,Customer 44,West,Office Supplies,Paper,Graph Paper,3,490.75,0.2,1177.8,427.77,250.01,2023,1,1,January
ORD1064,23-02-23,Customer 51,North,Furniture,Furnishings,Desk Lamp,8,107.23,0.1,772.056,229.336,67.84,2023,2,1,February
ORD1065,16-04-23,Customer 28,West,Technology,Copiers,Color Copier 3000,5,380.96,0.15,1619.08,498.48,224.12,2023,4,2,April
ORD1066,17-09-23,Customer 11,West,Furniture,Chairs,Comfort Seat,4,332.07,0.25,996.21,313.37,170.71,2023,9,3,September
ORD1067,06-11-23,Customer 4,South,Furniture,Chairs,Executive Leather,3,134.5,0.15,342.975,46.695,98.76,2023,11,4,November
ORD1068,10-07-23,Customer 73,South,Technology,Copiers,Color Copier 3000,3,310.83,0.25,699.3675,-1.3425,233.57,2023,7,3,July
ORD1069,06-08-23,Customer 100,South,Technology,Phones,SmartPhone A1,5,296.38,0.15,1259.615,312.915,189.34,2023,8,3,August
ORD1070,13-02-23,Customer 92,South,Furniture,Tables,Oak Table,5,428.14,0.2,1712.56,38.66,334.78,2023,2,1,February
ORD1071,11-06-23,Customer 73,North,Technology,Machines,Laminator,2,262.86,0.1,473.148,207.968,132.59,2023,6,2,June
ORD1072,21-07-23,Customer 54,West,Furniture,Furnishings,Wall Art,8,359.51,0.15,2444.668,829.308,201.92,2023,7,3,July
ORD1073,27-09-23,Customer 67,East,Office Supplies,Storage,Plastic Storage Box,7,416.35,0.2,2331.56,600.53,247.29,2023,9,3,September
ORD1074,17-12-23,Customer 32,North,Technology,Machines,Fax Machine,8,293.53,0.25,1761.18,275.58,185.7,2023,12,4,December
ORD1075,31-10-23,Customer 4,West,Technology,Accessories,USB Hub,4,190.32,0.1,685.152,213.832,117.83,2023,10,4,October
ORD1076,28-09-23,Customer 77,East,Office Supplies,Binders,Ring Binder,2,135.85,0.15,230.945,48.625,91.16,2023,9,3,September
ORD1077,03-08-23,Customer 98,South,Office Supplies,Storage,Plastic Storage Box,8,400.61,0,3204.88,1272.4,241.56,2023,8,3,August
ORD1078,09-09-23,Customer 52,South,Technology,Copiers,Color Copier 3000,9,274.84,0.15,2102.526,2.916,233.29,2023,9,3,September
ORD1079,09-07-23,Customer 71,East,Technology,Machines,Laminator,5,140.67,0,703.35,174.1,105.85,2023,7,3,July
ORD1080,23-10-23,Customer 41,North,Office Supplies,Paper,Printer Paper,4,374.53,0.1,1348.308,219.308,282.25,2023,10,4,October
ORD1081,01-08-23,Customer 98,East,Furniture,Tables,Glass Desk,4,193.22,0.1,695.592,305.312,97.57,2023,8,3,August
ORD1082,27-07-23,Customer 69,South,Technology,Phones,SmartPhone A1,9,160.23,0.05,1369.9665,326.9565,115.89,2023,7,3,July
ORD1083,25-08-23,Customer 97,West,Furniture,Chairs,Executive Leather,5,245.31,0.15,1042.5675,283.0175,151.91,2023,8,3,August
ORD1084,04-12-23,Customer 7,East,Technology,Phones,SmartPhone A1,7,256.04,0.2,1433.824,142.814,184.43,2023,12,4,December
ORD1085,22-02-23,Customer 7,South,Furniture,Bookcases,3-Shelf Bookcase,4,76.86,0.15,261.324,42.364,54.74,2023,2,1,February
ORD1086,07-10-23,Customer 80,South,Office Supplies,Storage,Plastic Storage Box,8,162.73,0.2,1041.472,-60.528,137.75,2023,10,4,October
ORD1087,05-08-23,Customer 40,North,Office Supplies,Binders,Ring Binder,4,147.03,0,588.12,261.72,81.6,2023,8,3,August
ORD1088,09-09-23,Customer 23,North,Furniture,Chairs,Comfort Seat,8,350.9,0.15,2386.12,696.36,211.22,2023,9,3,September
ORD1089,07-07-23,Customer 30,East,Office Supplies,Art,Markers Set,2,349.94,0.1,629.892,86.972,271.46,2023,7,3,July
ORD1090,10-02-23,Customer 81,South,Technology,Phones,SmartPhone A1,3,456.04,0.05,1299.714,581.454,239.42,2023,2,1,February
ORD1091,06-06-23,Customer 22,East,Office Supplies,Art,Markers Set,2,244.98,0.1,440.964,75.984,182.49,2023,6,2,June
ORD1092,15-01-23,Customer 35,West,Technology,Phones,SmartPhone A1,7,372.58,0.2,2086.448,553.868,218.94,2023,1,1,January
ORD1093,28-10-23,Customer 12,South,Office Supplies,Binders,Executive Binder,10,39.31,0.05,373.445,112.145,26.13,2023,10,4,October
ORD1094,06-03-23,Customer 84,West,Technology,Accessories,USB Hub,8,485.15,0.15,3299.02,885.74,301.66,2023,3,1,March
ORD1095,11-12-23,Customer 43,East,Office Supplies,Binders,Ring Binder,6,217.59,0.15,1109.709,325.269,130.74,2023,12,4,December
ORD1096,23-11-23,Customer 52,North,Technology,Phones,Cordless Phone Z,5,175.17,0.15,744.4725,41.4225,140.61,2023,11,4,November
ORD1097,09-01-23,Customer 1,West,Technology,Phones,SmartPhone A1,9,193.65,0.15,1481.4225,228.5325,139.21,2023,1,1,January
ORD1098,10-12-23,Customer 98,North,Furniture,Bookcases,3-Shelf Bookcase,5,230.3,0.25,863.625,92.525,154.22,2023,12,4,December
ORD1099,09-05-23,Customer 4,South,Office Supplies,Paper,Graph Paper,9,26.56,0.15,203.184,75.834,14.15,2023,5,2,May
ORD1100,16-05-23,Customer 15,West,Furniture,Tables,Glass Desk,5,264.26,0.1,1189.17,336.37,170.56,2023,5,2,May
ORD1101,04-03-23,Customer 62,West,Furniture,Furnishings,Desk Lamp,7,111.49,0.2,624.344,95.284,75.58,2023,3,1,March
ORD1102,19-05-23,Customer 18,North,Technology,Machines,Laminator,9,148.24,0,1334.16,535.05,88.79,2023,5,2,May
ORD1103,22-03-23,Customer 39,West,Furniture,Furnishings,Wall Art,6,179.57,0.2,861.936,180.996,113.49,2023,3,1,March
ORD1104,12-06-23,Customer 42,South,Office Supplies,Paper,Graph Paper,4,430.89,0.15,1465.026,576.906,222.03,2023,6,2,June
ORD1105,16-10-23,Customer 96,West,Office Supplies,Storage,Plastic Storage Box,3,257.76,0,773.28,352.47,140.27,2023,10,4,October
ORD1106,18-09-23,Customer 76,East,Furniture,Furnishings,Desk Lamp,9,457.01,0,4113.09,1016.55,344.06,2023,9,3,September
ORD1107,19-08-23,Customer 53,South,Furniture,Furnishings,Wall Art,6,319.16,0.15,1627.716,234.696,232.17,2023,8,3,August
ORD1108,10-02-23,Customer 43,West,Technology,Machines,Fax Machine,10,52.84,0.25,396.3,5.5,39.08,2023,2,1,February
ORD1109,28-01-23,Customer 37,South,Office Supplies,Binders,Executive Binder,2,384.98,0.25,577.47,-42.65,310.06,2023,1,1,January
ORD1110,15-05-23,Customer 57,South,Office Supplies,Art,Sketch Pad,1,175.7,0,175.7,69.81,105.89,2023,5,2,May
ORD1111,20-07-23,Customer 48,West,Furniture,Tables,Workstation Pro,7,291.65,0.05,1939.4725,797.2125,163.18,2023,7,3,July
ORD1112,24-11-23,Customer 11,West,Office Supplies,Paper,Graph Paper,10,88.7,0.15,753.95,112.45,64.15,2023,11,4,November
ORD1113,25-09-23,Customer 59,East,Office Supplies,Binders,Executive Binder,5,345.25,0.05,1639.9375,732.1875,181.55,2023,9,3,September
ORD1114,02-02-23,Customer 45,East,Office Supplies,Storage,Plastic Storage Box,8,425.75,0.05,3235.7,341.38,361.79,2023,2,1,February
ORD1115,17-02-23,Customer 62,North,Furniture,Furnishings,Wall Art,10,162.02,0.25,1215.15,237.65,97.75,2023,2,1,February
ORD1116,03-03-23,Customer 85,West,Technology,Phones,SmartPhone A1,10,377.68,0.1,3399.12,485.32,291.38,2023,3,1,March
ORD1117,04-08-23,Customer 30,East,Furniture,Tables,Workstation Pro,5,345.33,0.25,1294.9875,-32.1625,265.43,2023,8,3,August
ORD1118,20-10-23,Customer 88,South,Office Supplies,Binders,Ring Binder,5,398.53,0,1992.65,592.1,280.11,2023,10,4,October
ORD1119,09-04-23,Customer 94,South,Furniture,Bookcases,8-Cube Organizer,7,104.31,0.05,693.6615,127.5715,80.87,2023,4,2,April
ORD1120,21-06-23,Customer 47,East,Furniture,Bookcases,8-Cube Organizer,5,378.35,0.1,1702.575,224.225,295.67,2023,6,2,June
ORD1121,26-12-23,Customer 60,North,Furniture,Tables,Workstation Pro,7,484.29,0.2,2712.024,583.044,304.14,2023,12,4,December
ORD1122,02-08-23,Customer 51,North,Technology,Phones,Cordless Phone Z,6,342.96,0.25,1543.32,325.62,202.95,2023,8,3,August
ORD1123,04-02-23,Customer 49,East,Furniture,Tables,Glass Desk,1,317.38,0.2,253.904,58.774,195.13,2023,2,1,February
ORD1124,15-08-23,Customer 79,South,Office Supplies,Binders,Executive Binder,5,331.63,0,1658.15,747.95,182.04,2023,8,3,August
ORD1125,11-04-23,Customer 5,East,Technology,Phones,SmartPhone A1,4,445.88,0.05,1694.344,559.984,283.59,2023,4,2,April
ORD1126,11-05-23,Customer 48,West,Office Supplies,Paper,Graph Paper,2,420.17,0.2,672.272,132.072,270.1,2023,5,2,May
ORD1127,14-09-23,Customer 36,North,Office Supplies,Art,Sketch Pad,8,233.45,0.05,1774.22,281.26,186.62,2023,9,3,September
ORD1128,05-01-23,Customer 13,East,Office Supplies,Art,Sketch Pad,7,152.42,0,1066.94,179.06,126.84,2023,1,1,January
ORD1129,06-08-23,Customer 59,North,Office Supplies,Paper,Printer Paper,1,397.66,0.05,377.777,41.317,336.46,2023,8,3,August
ORD1130,12-09-23,Customer 73,South,Furniture,Tables,Workstation Pro,4,410.27,0.05,1559.026,549.786,252.31,2023,9,3,September
ORD1131,25-12-23,Customer 19,North,Technology,Accessories,Wireless Mouse,9,140.31,0.05,1199.6505,519.7005,75.55,2023,12,4,December
ORD1132,10-10-23,Customer 4,South,Furniture,Bookcases,3-Shelf Bookcase,10,175.41,0.05,1666.395,626.395,104,2023,10,4,October
ORD1133,26-07-23,Customer 17,West,Office Supplies,Binders,Ring Binder,8,235.17,0.1,1693.224,414.584,159.83,2023,7,3,July
ORD1134,15-01-23,Customer 14,West,Office Supplies,Paper,Printer Paper,9,164.78,0.25,1112.265,-129.645,137.99,2023,1,1,January
ORD1135,12-12-23,Customer 8,West,Technology,Machines,Fax Machine,8,361.95,0.15,2461.26,939.02,190.28,2023,12,4,December
ORD1136,11-02-23,Customer 11,East,Office Supplies,Paper,Printer Paper,3,152.01,0.25,342.0225,20.5725,107.15,2023,2,1,February
ORD1137,28-06-23,Customer 92,East,Technology,Copiers,Color Copier 3000,9,310.6,0,2795.4,621.72,241.52,2023,6,2,June
ORD1138,04-03-23,Customer 15,South,Technology,Machines,Fax Machine,7,182.69,0.15,1087.0055,269.1255,116.84,2023,3,1,March
ORD1139,18-12-23,Customer 94,North,Technology,Machines,Laminator,5,199.66,0.05,948.385,209.235,147.83,2023,12,4,December
ORD1140,19-08-23,Customer 61,North,Furniture,Chairs,ErgoChair X,7,66.35,0.25,348.3375,55.5275,41.83,2023,8,3,August
ORD1141,29-08-23,Customer 17,North,Office Supplies,Art,Sketch Pad,7,189.73,0.25,996.0825,-105.4375,157.36,2023,8,3,August
ORD1142,21-02-23,Customer 55,North,Technology,Copiers,Color Copier 3000,2,297.4,0.05,565.06,235.44,164.81,2023,2,1,February
ORD1143,06-04-23,Customer 62,South,Furniture,Bookcases,8-Cube Organizer,2,386.05,0.2,617.68,170.52,223.58,2023,4,2,April
ORD1144,10-08-23,Customer 55,North,Office Supplies,Art,Sketch Pad,3,151.17,0.1,408.159,35.139,124.34,2023,8,3,August
ORD1145,19-08-23,Customer 45,North,Furniture,Tables,Workstation Pro,7,53.4,0.25,280.35,10.64,38.53,2023,8,3,August
ORD1146,25-08-23,Customer 4,North,Office Supplies,Paper,Graph Paper,7,237.75,0.05,1581.0375,533.3475,149.67,2023,8,3,August
ORD1147,23-05-23,Customer 93,East,Office Supplies,Binders,Ring Binder,3,95.56,0.2,229.344,81.024,49.44,2023,5,2,May
ORD1148,20-06-23,Customer 11,East,Technology,Machines,Laminator,10,232.18,0.1,2089.62,753.52,133.61,2023,6,2,June
